2023-08-21 17:36:24.089 | INFO     | __main__:run:75 - [Task start]>> ...
2023-08-21 17:36:38.890 | INFO     | __main__:run:75 - [Task start]>> ...
2023-08-21 17:37:39.166 | INFO     | __main__:run:75 - [Task start]>> ...
2023-08-21 17:42:30.572 | INFO     | __main__:run:75 - [Task start]>> ...
2023-08-21 17:42:30.587 | SUCCESS  | __main__:process:99 - https://cn.element14.com/texas-instruments/ads7924irter/adc-octal-sar-12bit-100ksps-wqfn/dp/2782707RL?st=ads7924irter
2023-08-21 17:42:30.587 | SUCCESS  | __main__:process:99 - https://cn.element14.com/phoenix-contact/3006043/terminal-block-din-rail-2pos/dp/3042960
2023-08-21 17:42:30.587 | SUCCESS  | __main__:process:99 - https://cn.element14.com/power-integrations/lnk3604p/off-line-switcher-ic-flyback-dip/dp/2951378
2023-08-21 17:42:30.588 | SUCCESS  | __main__:process:99 - https://cn.element14.com/stmicroelectronics/stth1602ct/diode-ultrafast-2x8a/dp/9935878
2023-08-21 17:42:30.588 | SUCCESS  | __main__:process:99 - https://cn.element14.com/onsemi/es2d/diode-fast-2a-200v-smd-do-214/dp/1467491
2023-08-21 17:42:30.589 | INFO     | __main__:run:77 - [Task end]>> ...
2023-08-21 17:42:45.085 | INFO     | __main__:run:75 - [Task start]>> ...
2023-08-21 17:42:45.086 | SUCCESS  | __main__:process:99 - https://cn.element14.com/texas-instruments/ads7924irter/adc-octal-sar-12bit-100ksps-wqfn/dp/2782707RL?st=ads7924irter
2023-08-21 17:42:45.087 | SUCCESS  | __main__:process:99 - https://cn.element14.com/phoenix-contact/3006043/terminal-block-din-rail-2pos/dp/3042960
2023-08-21 17:42:45.087 | SUCCESS  | __main__:process:99 - https://cn.element14.com/power-integrations/lnk3604p/off-line-switcher-ic-flyback-dip/dp/2951378
2023-08-21 17:42:45.087 | SUCCESS  | __main__:process:99 - https://cn.element14.com/stmicroelectronics/stth1602ct/diode-ultrafast-2x8a/dp/9935878
2023-08-21 17:42:45.088 | SUCCESS  | __main__:process:99 - https://cn.element14.com/onsemi/es2d/diode-fast-2a-200v-smd-do-214/dp/1467491
2023-08-21 17:42:45.088 | INFO     | __main__:run:77 - [Task end]>> ...
2023-08-21 17:42:54.675 | INFO     | __main__:run:75 - [Task start]>> ...
2023-08-21 17:43:11.024 | INFO     | __main__:run:75 - [Task start]>> ...
2023-08-21 17:43:11.528 | SUCCESS  | __main__:process:100 - https://cn.element14.com/texas-instruments/ads7924irter/adc-octal-sar-12bit-100ksps-wqfn/dp/2782707RL?st=ads7924irter
2023-08-21 17:43:12.044 | SUCCESS  | __main__:process:100 - https://cn.element14.com/phoenix-contact/3006043/terminal-block-din-rail-2pos/dp/3042960
2023-08-21 17:43:12.556 | SUCCESS  | __main__:process:100 - https://cn.element14.com/power-integrations/lnk3604p/off-line-switcher-ic-flyback-dip/dp/2951378
